TF,Target
CEBPA,HEATR5A
CEBPA,HECTD2
CEBPA,HELQ
CEBPA,HGSNAT
CEBPA,HJV
CEBPA,HMGCL
CEBPA,HOXD11
CEBPA,HSPA8
CEBPA,HSPB1
CEBPA,IDH3A
CEBPA,IKZF2
CEBPA,IL1R2
CEBPA,INSIG2
CEBPA,IPO5
CEBPA,IPO7
CEBPA,IQCE
CEBPA,IRF2
CEBPA,ITGB5
CEBPA,ITPR3
CEBPA,IWS1
CEBPA,JAGN1
CEBPA,KAAG1
CEBPA,KANK1
CEBPA,KBTBD3
CEBPA,KCNIP4
CEBPA,KDM8
CEBPA,KIAA0895
CEBPA,KIF27
CEBPA,LRP4
CEBPA,LRRC36
CEBPA,LRRTM4
CEBPA,LTBP4
CEBPA,LUC7L
CEBPA,MAD2L1
CEBPA,MAP3K12
CEBPA,MAP4
CEBPA,MBD3L1
CEBPA,ME3
CEBPA,MEF2A
CEBPA,METTL25
CEBPA,MGAT3
CEBPA,MIIP
CEBPA,MLLT10
CEBPA,MMD
CEBPA,MOB1A
CEBPA,MRPL3
CEBPA,MTUS2
CEBPA,MYB
CEBPA,MYL10
CEBPA,MYL4
CEBPA,MYO18B
CEBPA,NADK
CEBPA,NAGPA
CEBPA,NBEAL2
CEBPA,NDFIP2
CEBPA,NEBL
CEBPA,NEU3
CEBPA,NEXN
CEBPA,NLRC5
CEBPA,NOL4
CEBPA,NPHS1
CEBPA,NPLOC4
CEBPA,NRG4
CEBPA,NUBPL
CEBPA,NUCB2
CEBPA,OGDH
CEBPA,OLIG1
CEBPA,OLR1
CEBPA,OPN3
CEBPA,OR1G1
CEBPA,OR1M1
CEBPA,OR2S2
CEBPA,OR5B21
CEBPA,OR9G4
CEBPA,OTC
CEBPA,OTUD3
CEBPA,P4HA3
CEBPA,PADI1
CEBPA,PANK1
CEBPA,PAQR8
CEBPA,PBX4
CEBPA,PCBP2
CEBPA,PCNX1
CEBPA,PDE4C
CEBPA,PDPR
CEBPA,PDZD2
CEBPA,PIP5K1A
CEBPA,PKD1L1
CEBPA,PKD1L2
CEBPA,PLA2G4C
CEBPA,PLA2G5
CEBPA,PLEKHA1
CEBPA,PLK5
CEBPA,PMPCB
CEBPA,POLE3
CEBPA,POLR3B
CEBPA,POM121
CEBPA,PPIB
CEBPA,PPL
CEBPA,PPP3CC
CEBPA,PRM2
CEBPA,PRMT7
CEBPA,PRODH2
CEBPA,PROS1
CEBPA,PRPSAP2
CEBPA,PRR27
CEBPA,PSMA6
CEBPA,PTCHD4
CEBPA,PTPRA
CEBPA,R3HDM1
CEBPA,RABGEF1
CEBPA,RADIL
CEBPA,RALGAPB
CEBPA,RANBP6
CEBPA,RBBP6
CEBPA,RBM25
CEBPA,RBM45
CEBPA,RBMS2
CEBPA,RCC1
CEBPA,RFWD3
CEBPA,RHOBTB2
CEBPA,RIMS2
CEBPA,RP1
CEBPA,RPL5
CEBPA,RRP1B
CEBPA,RXRB
CEBPA,SCFD1
CEBPA,SCHIP1
CEBPA,SCUBE2
CEBPA,SEPTIN11
CEBPA,SEPTIN2
CEBPA,SERPINB8
CEBPA,SETD5
CEBPA,SH2B3
CEBPA,SH3D19
CEBPA,SHTN1
CEBPA,SIGLEC11
CEBPA,SLAIN1
CEBPA,SLC12A6
CEBPA,SLC17A1
CEBPA,SLC1A3
CEBPA,SLC22A10
CEBPA,SLC22A12
CEBPA,SLC22A9
CEBPA,SLC25A36
CEBPA,SLC2A4RG
CEBPA,SLC44A2
CEBPA,SLC44A3
CEBPA,SLC4A4
CEBPA,SLC4A5
CEBPA,SLC5A11
CEBPA,SLC6A13
CEBPA,SLC7A2
CEBPA,SLC7A7
CEBPA,SNX27
CEBPA,SNX6
CEBPA,SP140L
CEBPA,SPATA6
CEBPA,SPATS2
CEBPA,SPHK1
CEBPA,SRGAP3
CEBPA,SRSF10
CEBPA,SSX2IP
CEBPA,STX1A
CEBPA,SULT1C3
CEBPA,SUMF2
CEBPA,SYBU
CEBPA,SYCP2L
CEBPA,SYNCRIP
CEBPA,SYNJ1
CEBPA,SYNPO
CEBPA,SYPL1
CEBPA,SYT11
CEBPA,TARBP2
CEBPA,TEX45
CEBPA,TFEB
CEBPA,TFRC
CEBPA,TINAGL1
CEBPA,TLK2
CEBPA,TMEM89
CEBPA,TNFSF4
CEBPA,TNKS1BP1
CEBPA,TP53INP2
CEBPA,TPX2
CEBPA,TRAF3IP3
CEBPA,TRAFD1
CEBPA,TREM1
CEBPA,TRPM8
CEBPA,TSGA10IP
CEBPA,TSPAN33
CEBPA,TTC22
CEBPA,TTC3
CEBPA,TTC7B
CEBPA,TUBB3
CEBPA,TUT7
CEBPA,TYW1B
CEBPA,UAP1
CEBPA,UBN2
CEBPA,UBQLN1
CEBPA,UBR2
CEBPA,UBXN10
CEBPA,UBXN4
CEBPA,UHRF1BP1L
CEBPA,UMOD
CEBPA,UMODL1
CEBPA,UNC5D
CEBPA,UNC80
CEBPA,UPF1
CEBPA,UPP2
CEBPA,URAD
CEBPA,USP22
CEBPA,USP31
CEBPA,VAMP5
CEBPA,VN1R1
CEBPA,VPS45
CEBPA,VWA3A
CEBPA,WDFY3
CEBPA,WDFY4
CEBPA,WDR25
CEBPA,WDR90
CEBPA,WNK2
CEBPA,XBP1
CEBPA,XRCC2
CEBPA,ZAN
CEBPA,ZBTB18
CEBPA,ZBTB24
CEBPA,ZBTB46
CEBPA,ZBTB7C
CEBPA,ZC3H11B
CEBPA,ZC3H12C
CEBPA,ZFX
CEBPA,ZMIZ2
CEBPA,ZNF14
CEBPA,ZNF281
CEBPA,ZNF334
CEBPA,ZNF391
CEBPA,ZNF407
CEBPA,ZNF549
CEBPA,ZNF638
CEBPA,ZNF680
CEBPA,ZNF709
CEBPA,ZNF766
CEBPA,ZSCAN18
CEBPB,AFF1
CEBPB,ARHGAP21
CEBPB,ARHGEF28
CEBPB,ATP2A2
CEBPB,BCR
CEBPB,BRD4
CEBPB,CACNB2
CEBPB,CD44
CEBPB,CLEC16A
CEBPB,CNGB1
CEBPB,COL21A1
CEBPB,CREB5
CEBPB,CUEDC1
CEBPB,DLGAP1
CEBPB,DMD
CEBPB,DOCK5
CEBPB,DPYSL2
CEBPB,ECE1
CEBPB,ELMSAN1
CEBPB,FLNB
CEBPB,FOXO3
CEBPB,FYN
CEBPB,HK1
CEBPB,IL1R1
CEBPB,ITGB5
CEBPB,LEP
CEBPB,LRP1B
CEBPB,MACF1
CEBPB,MAGI1
CEBPB,MYLK
CEBPB,NAALADL2
CEBPB,OTC
CEBPB,PDLIM5
CEBPB,POR
CEBPB,RIN3
CEBPB,RND3
CEBPB,RPGR
CEBPB,RTN4
CEBPB,SEMA3C
CEBPB,SMARCA2
CEBPB,SYNE1
CEBPB,SYNE2
CEBPB,TNFSF11
CEBPD,ACOT7
CEBPD,ADAP1
CEBPD,AFF1
CEBPD,APRT
CEBPD,ATF7IP2
CEBPD,ATP2A2
CEBPD,BBC3
CEBPD,BCL3
CEBPD,CCM2
CEBPD,CHPT1
CEBPD,CLEC16A
CEBPD,CUEDC1
CEBPD,DDIT4
CEBPD,DHRS2
CEBPD,DNM2
CEBPD,ECE1
CEBPD,ELMSAN1
CEBPD,EXOC3L4
CEBPD,FADS1
CEBPD,FLNA
CEBPD,FLNB
CEBPD,FYN
CEBPD,GADD45A
CEBPD,GFOD1
CEBPD,H6PD
CEBPD,HNRNPF
CEBPD,ID2
CEBPD,IL1R1
CEBPD,ITGB5
CEBPD,KLF9
CEBPD,KYAT1
CEBPD,LEP
CEBPD,LMO4
CEBPD,LONP1
CEBPD,MACF1
CEBPD,MYC
CEBPD,NUMB
CEBPD,PDGFRA
CEBPD,PHC2
CEBPD,RCC1
CEBPD,RPGR
CEBPD,RRBP1
CEBPD,SERPINE1
CEBPD,SLC16A3
CEBPD,SOD2
CEBPD,SOS1
CEBPD,SRCIN1
CEBPD,STAT3
CEBPD,TFEB
CEBPD,TFRC
CEBPD,TGIF1
CEBPD,TGM2
CEBPD,TNFRSF1A
CEBPD,TRIB1
CEBPD,UBALD2
CEBPD,ZFP36L1
CEBPD,ZFP36L2
CEBPE,MMP2
CEBPG,AIG1
CEBPG,ARHGAP25
CEBPG,ATP2A2
CEBPG,BRD4
CEBPG,CECR2
CEBPG,CHN2
CEBPG,CLIP1
CEBPG,CPQ
CEBPG,CREB5
CEBPG,CRYZL1
CEBPG,CYP19A1
CEBPG,DPYSL2
CEBPG,DST
CEBPG,EDEM1
CEBPG,ELMSAN1
CEBPG,EPAS1
CEBPG,EPS15
CEBPG,FGGY
CEBPG,FRYL
CEBPG,FYN
CEBPG,GRHL2
CEBPG,HDAC9
CEBPG,HK1
CEBPG,LIPC
CEBPG,MAP4
CEBPG,MICAL2
CEBPG,MTHFD1L
CEBPG,NFIB
CEBPG,NFIL3
CEBPG,PHF3
CEBPG,PIK3R1
CEBPG,PTP4A2
CEBPG,ROCK2
CEBPG,RP1
CEBPG,RTN4
CEBPG,SLC38A1
CEBPG,SLC9A1
CEBPG,SOX6
CEBPG,TBC1D31
CEBPG,TCF4
CEBPG,TRIB1
CEBPG,TRIB3
CEBPG,VAV3
CEBPG,WDR64
CLOCK,ACOXL
CLOCK,ATP9B
CLOCK,CDH22
CLOCK,CDH23
CLOCK,CELSR1
CLOCK,CHCHD6
CLOCK,CMIP
CLOCK,COL6A1
CLOCK,CORO2B
CLOCK,CREB5
CLOCK,DENND3
CLOCK,DLGAP1
CLOCK,DNAAF5
CLOCK,FAM91A1
CLOCK,GAS7
CLOCK,GET4
CLOCK,GLI3
CLOCK,INPP5A
CLOCK,IQSEC1
CLOCK,ITGB2
CLOCK,JCAD
CLOCK,LARP1
CLOCK,MAGI1
CLOCK,MICAL2
CLOCK,PCYT1A
CLOCK,PKD1L1
CLOCK,PPFIA1
CLOCK,PREX1
CLOCK,PRKAG2
CLOCK,PTK2
CLOCK,RBFOX1
CLOCK,RGS12
CLOCK,RGS6
CLOCK,SEC14L1
CLOCK,SIPA1L1
CLOCK,SMOC2
CLOCK,SPTBN4
CLOCK,TIAM1
CLOCK,TNS1
CLOCK,TNS3
CLOCK,TRAPPC9
CLOCK,WDR66
CLOCK,ZDHHC14
CLOCK,ZNF331
CREB1,B3GAT3
CREB1,BRD4
CREB1,CALCR
CREB1,CHD9
CREB1,CLCN3
CREB1,CMIP
CREB1,CREB3L2
CREB1,CRH
CREB1,CTNNA1
CREB1,FAAP20
CREB1,FAT1
CREB1,FOSB
CREB1,KIAA1217
CREB1,LAPTM4B
CREB1,MSI2
CREB1,MYH10
CREB1,NCOA2
CREB1,NEK7
CREB1,PDE7A
CREB1,PTPRS
CREB1,RAB25
CREB1,RREB1
CREB1,SIK1
CREB1,SLC25A25
CREB1,SND1
CREB1,SPAG9
CREB1,TEAD1
CREB1,THADA
CREB1,TRAK1
CREB1,UBC
CREB1,UBE2H
CREB1,UTRN
CREB1,VASP
CREB1,ZBTB38
CREB1,ZC3H4
CREB3,ANO10
CREB3,BHLHE40
CREB3,CAP1
CREB3,CHCHD6
CREB3,DNAJB12
CREB3,DTNBP1
CREB3,ESYT2
CREB3,FAAP20
CREB3,GALNT2
CREB3,LAMTOR5
CREB3,MAD2L1BP
CREB3,MTHFR
CREB3,NEBL
CREB3,PCBP1
CREB3,PCNA
CREB3,PTTG1IP
CREB3,RUNX1
CREB3,SRGN
CREB3,ST3GAL2
CREB3,STAT3
CREB3,STON2
CREB3,SUB1
CREB3,UTP11
CREB3L1,ARHGEF1
CREB3L1,ARID1A
CREB3L1,ASPH
CREB3L1,BCAR1
CREB3L1,CERCAM
CREB3L1,FNDC3B
CREB3L1,HMGB1
CREB3L1,KCNK1
CREB3L1,MAD2L1BP
CREB3L1,MTDH
CREB3L1,NRSN2
CREB3L1,PARVB
CREB3L1,PLEC
CREB3L1,RUNX1
CREB3L1,SERPINH1
CREB3L1,STAR
CREB3L1,STARD10
CREB3L1,TXNDC5
CREB3L1,UBC
CREB3L2,CPT1C
CREB5,POU1F1
CREM,ARID1A
CREM,ARID5B
CREM,ATF3
CREM,CMIP
CREM,CREB3L2
CREM,CREB5
CREM,ERN1
CREM,ESYT2
CREM,FOXP1
CREM,FSCN1
CREM,GADD45A
CREM,GATA2
CREM,HDAC4
CREM,HIVEP2
CREM,KDM4C
CREM,LIMS1
CREM,LITAF
CREM,LPCAT1
CREM,MSI2
CREM,NAV2
CREM,NFATC1
CREM,NR4A2
CREM,PDE4B
CREM,PLCL2
CREM,PRKCE
CREM,PRKCZ
CREM,PTMA
CREM,PTP4A2
CREM,PTPRS
CREM,PTPRU
CREM,RARA
CREM,RREB1
CREM,SH2B3
CREM,SH3BP5
CREM,SLC25A25
CREM,SND1
CREM,ST7
CREM,SUB1
CREM,TGIF1
CREM,THADA
CREM,TRIM69
CREM,UBE2H
CREM,USP9X
CREM,ZDHHC14
CTCF,AAAS
CTCF,ABCA3
CTCF,ABCC12
CTCF,ABHD14A
CTCF,ABHD14B
CTCF,ABLIM3
CTCF,ACBD4
CTCF,ACHE
CTCF,ACTB
CTCF,ADAMTS13
CTCF,ADAMTS7
CTCF,ADAMTSL5
CTCF,ADCK5
CTCF,ADGRD1
CTCF,ADRA2A
CTCF,ADSS1
CTCF,AGFG1
CTCF,AJM1
CTCF,ALG13
CTCF,ALKBH2
CTCF,ALPL
CTCF,AMMECR1L
CTCF,ANKRD10
CTCF,ANKRD2
CTCF,ANKS6
CTCF,ANTXR1
CTCF,AP2A2
CTCF,AP4E1
CTCF,AP5S1
CTCF,AQP6
CTCF,ARAP1
CTCF,ARHGAP12
CTCF,ARHGAP39
CTCF,ARMC7
CTCF,ARTN
CTCF,ATMIN
CTCF,B3GLCT
CTCF,BCO2
CTCF,BEND3
CTCF,BRINP2
CTCF,BRSK1
CTCF,BTBD17
CTCF,C11orf45
CTCF,C15orf48
CTCF,C18orf25
CTCF,C1orf194
CTCF,C1orf52
CTCF,C1QBP
CTCF,C5orf47
CTCF,C7orf26
CTCF,CALB2
CTCF,CARM1
CTCF,CBL
CTCF,CBX4
CTCF,CCBE1
CTCF,CCDC114
CTCF,CCDC144A
CTCF,CCDC149
CTCF,CCDC175
CTCF,CCDC83
CTCF,CCDC9B
CTCF,CD8A
CTCF,CDC73
CTCF,CDH24
CTCF,CDK14
CTCF,CDK9
CTCF,CELF5
CTCF,CENPS-CORT
CTCF,CERCAM
CTCF,CGRRF1
CTCF,CHIT1
CTCF,CHRNE
CTCF,CISD3
CTCF,CMTM3
CTCF,CNPY2
CTCF,COL8A2
CTCF,COX8C
CTCF,CPD
CTCF,CRABP2
CTCF,CRBN
CTCF,CREM
CTCF,CRHR1
CTCF,CSHL1
CTCF,CSMD3
CTCF,CSNK1G2
CTCF,CT45A1
CTCF,CT62
CTCF,CUL5
CTCF,CXorf58
CTCF,CYREN
CTCF,DAO
CTCF,DAPK2
CTCF,DDX20
CTCF,DENND1C
CTCF,DEXI
CTCF,DGAT1
CTCF,DGKZ
CTCF,DHX34
CTCF,DNAH2
CTCF,DNPH1
CTCF,DPEP2
CTCF,DPP3
CTCF,DPYSL3
CTCF,DRD1
CTCF,DTD1
CTCF,DTWD2
CTCF,DUSP13
CTCF,DVL1
CTCF,EARS2
CTCF,ECT2
CTCF,EEA1
CTCF,EEF2K
CTCF,EHD2
CTCF,EIF3C
CTCF,EIF4E3
CTCF,ELF3
CTCF,ELN
CTCF,ELOVL2
CTCF,EPB41L4B
CTCF,EPN2
CTCF,ERMN
CTCF,ESCO1
CTCF,ESR2
CTCF,EXD3
CTCF,FAF2
CTCF,FAM13A
CTCF,FAM160B1
CTCF,FAM167A
CTCF,FAM178B
CTCF,FAM3C
CTCF,FAM83D
CTCF,FAM98C
CTCF,FBXO34
CTCF,FEM1A
CTCF,FGF8
CTCF,FGFBP2
CTCF,FLT3LG
CTCF,FNDC5
CTCF,FRMD6
CTCF,FUCA1
CTCF,FXN
CTCF,FXYD7
CTCF,GAD1
CTCF,GAS8
CTCF,GCLM
CTCF,GFI1B
CTCF,GGACT
CTCF,GLI1
CTCF,GLRA2
CTCF,GMIP
CTCF,GNAI2
CTCF,GNAS
CTCF,GNAZ
CTCF,GNPTAB
CTCF,GRAMD1C
CTCF,GRK2
CTCF,GSTT2B
CTCF,HBQ1
CTCF,HCN1
CTCF,HIF3A
CTCF,HINT3
CTCF,HLA-DMA
CTCF,HSD3B7
CTCF,INKA2
CTCF,IRX6
CTCF,ITGA10
CTCF,ITGA9
CTCF,ITPK1
CTCF,KATNBL1
CTCF,KCNT1
CTCF,KHK
CTCF,KIF1B
CTCF,KLHDC8B
CTCF,KLHDC9
CTCF,LCAT
CTCF,LCP2
CTCF,LGI1
CTCF,LGI4
CTCF,LIMS2
CTCF,LRP5L
CTCF,LSM11
CTCF,LTBP1
CTCF,LYRM9
CTCF,LZTS2
CTCF,MAFA
CTCF,MAGEA8
CTCF,MAGIX
CTCF,MAPK8IP3
CTCF,MAST1
CTCF,MC3R
CTCF,MED12
CTCF,MELTF
CTCF,MGAT5B
CTCF,MLF2
CTCF,MLLT1
CTCF,MPLKIP
CTCF,MRO
CTCF,MRPL38
CTCF,MRPL39
CTCF,MSL3
CTCF,MTMR6
CTCF,MTSS1
CTCF,MTSS2
CTCF,MUC1
CTCF,MYO5B
CTCF,MYO7A
CTCF,MYRF
CTCF,NAE1
CTCF,NDUFA4L2
CTCF,NECAB2
CTCF,NELFA
CTCF,NEMF
CTCF,NFKB2
CTCF,NIPSNAP2
CTCF,NMUR1
CTCF,NOL9
CTCF,NOM1
CTCF,NOS2
CTCF,NOS3
CTCF,NOXA1
CTCF,NPY1R
CTCF,NR6A1
CTCF,NSD2
CTCF,NUDT17
CTCF,NUTM1
CTCF,NXPH3
CTCF,NYAP1
CTCF,OPA3
CTCF,OR2L13
CTCF,OTOA
CTCF,OTUD3
CTCF,OXNAD1
CTCF,PARP10
CTCF,PARP3
CTCF,PCDHB9
CTCF,PCNX3
CTCF,PCSK7
CTCF,PDE5A
CTCF,PDIA6
CTCF,PDZD9
CTCF,PFDN4
CTCF,PITPNM1
CTCF,PLCB3
CTCF,PLCL2
CTCF,PLEKHG4
CTCF,POP7
CTCF,PPFIA4
CTCF,PPIL4
CTCF,PPM1F
CTCF,PPP1R14A
CTCF,PRAME
CTCF,PRDM8
CTCF,PRKAB1
CTCF,PRKAB2
CTCF,PRKCQ
CTCF,PRMT3
CTCF,PRSS27
CTCF,PRSS48
CTCF,PSMD1
CTCF,PTPN18
CTCF,PTPRU
CTCF,RAB12
CTCF,RAB32
CTCF,RAD52
CTCF,RADIL
CTCF,RAP2C
CTCF,RAPGEF3
CTCF,RASD1
CTCF,RBPJL
CTCF,RCC1
CTCF,RCC2
CTCF,RCCD1
CTCF,RCVRN
CTCF,REPS1
CTCF,RERG
CTCF,REXO1
CTCF,RGMB
CTCF,RHOQ
CTCF,RNF144A
CTCF,RNF215
CTCF,RNLS
CTCF,ROBO3
CTCF,RPL38
CTCF,RPL5
CTCF,RPN1
CTCF,RPP14
CTCF,RPP25L
CTCF,RPS6KA5
CTCF,RRAGA
CTCF,RRS1
CTCF,RSAD1
CTCF,RUFY4
CTCF,RWDD3
CTCF,SAT1
CTCF,SAXO1
CTCF,SCN2A
CTCF,SCN3A
CTCF,SCN4B
CTCF,SCN8A
CTCF,SDCBP2
CTCF,SEC24B
CTCF,SEMA3D
CTCF,SF3A3
CTCF,SH2B3
CTCF,SH3GL1
CTCF,SLC25A22
CTCF,SMIM12
CTCF,SMIM5
CTCF,SNX19
CTCF,SOCS1
CTCF,SOCS3
CTCF,SRCIN1
CTCF,STARD10
CTCF,STAU2
CTCF,STEAP1
CTCF,STX3
CTCF,SUGCT
CTCF,SUN5
CTCF,SUOX
CTCF,SYT9
CTCF,TAGAP
CTCF,TAS1R1
CTCF,TBC1D9B
CTCF,TCAF2
CTCF,TCF7
CTCF,TIMM44
CTCF,TLR9
CTCF,TMBIM1
CTCF,TMEM102
CTCF,TMEM179B
CTCF,TMTC1
CTCF,TNFAIP3
CTCF,TOMM20L
CTCF,TP53I3
CTCF,TPD52L1
CTCF,TPTE2
CTCF,TRAF6
CTCF,TTC21B
CTCF,TWISTNB
CTCF,U2AF2
CTCF,UBA1
CTCF,UBE2E2
CTCF,UBE3D
CTCF,UBE4B
CTCF,UBFD1
CTCF,UNC5CL
CTCF,USB1
CTCF,USF2
CTCF,USH1G
CTCF,UTP3
CTCF,VPS36
CTCF,VPS37D
CTCF,WDR17
CTCF,WDR38
CTCF,ZBTB34
CTCF,ZC3H7A
CTCF,ZNF274
CTCF,ZNF3
CTCF,ZNF319
CTCF,ZNF341
CTCF,ZNF343
CTCF,ZNF516
CTCF,ZNF587
CTCF,ZNF814
CTCF,ZNRF1
CTCF,ZYX
CTCFL,ACTB
CTCFL,ADGRB2
CTCFL,ADSS1
CTCFL,ANKS6
CTCFL,ATG16L2
CTCFL,CABIN1
CTCFL,CACNA1H
CTCFL,CBX4
CTCFL,CBX8
CTCFL,CDH24
CTCFL,CHD5
CTCFL,COL13A1
CTCFL,COL27A1
CTCFL,CRIP2
CTCFL,CSK
CTCFL,CTBP1
CTCFL,CTCFL
CTCFL,DGKZ
CTCFL,DIAPH1
CTCFL,EXD3
CTCFL,FIBCD1
CTCFL,FLT3LG
CTCFL,GAD1
CTCFL,GBX1
CTCFL,GNAI2
CTCFL,IGDCC4
CTCFL,INKA2
CTCFL,JAG2
CTCFL,KCNIP3
CTCFL,KCNT1
CTCFL,KIAA1522
CTCFL,LZTS2
CTCFL,MAPK8IP3
CTCFL,MAST1
CTCFL,MIB1
CTCFL,NDUFA4L2
CTCFL,NELFA
CTCFL,NFE2L2
CTCFL,NRARP
CTCFL,NRXN2
CTCFL,PIEZO1
CTCFL,PIM1
CTCFL,PLEKHG5
CTCFL,PPM1F
CTCFL,PURA
CTCFL,PXN
CTCFL,RADIL
CTCFL,ROR2
CTCFL,SPEG
CTCFL,SVIL
CTCFL,TBC1D14
CTCFL,ZBTB7A
CTCFL,ZMIZ1
CTCFL,ZNF398
CTCFL,ZNF423
CUX1,AHCY
CUX1,AHI1
CUX1,ALOXE3
CUX1,APOB
CUX1,ARID5B
CUX1,AXIN2
CUX1,CLEC16A
CUX1,CR2
CUX1,DAAM1
CUX1,DEPDC1B
CUX1,ETV4
CUX1,GMDS
CUX1,HSPD1
CUX1,ITGB4
CUX1,ITGB5
CUX1,JADE1
CUX1,KIAA1217
CUX1,KIFC3
CUX1,MACF1
CUX1,MED15
CUX1,MYADM
CUX1,NFIC
CUX1,PIM1
CUX1,PREX1
CUX1,PUF60
CUX1,RBCK1
CUX1,SEPTIN9
CUX1,SLC16A3
CUX1,SLC30A10
CUX1,SPTBN1
CUX1,SQSTM1
CUX1,SRCIN1
CUX1,TBC1D1
CUX1,TBC1D5
CUX1,TEX2
CUX1,UBAC1
CUX1,ZFAND3
DEAF1,ANKRD9
DEAF1,DLG4
DEAF1,FBXL19
DEAF1,GPR137
DEAF1,IRF2BP1
DEAF1,PTRHD1
DEAF1,RAC3
DEAF1,TMEM80
DUX4,ADAMTS9
DUX4,ANO4
DUX4,ATF7IP
DUX4,AUTS2
DUX4,CCDC171
DUX4,CD200R1
DUX4,CEP290
DUX4,CPEB3
DUX4,CXCL13
DUX4,DMD
DUX4,EML5
DUX4,ESRRG
DUX4,EXOC4
DUX4,FBXL5
DUX4,FILIP1L
DUX4,GTF2F1
DUX4,IFT81
DUX4,NNT
DUX4,NRDE2
DUX4,NUP54
DUX4,PALMD
DUX4,PMS1
DUX4,PRKCH
DUX4,PSEN1
DUX4,RAI14
DUX4,RBBP6
DUX4,RHOBTB3
DUX4,SLC14A2
DUX4,SLC2A2
DUX4,STIM2
DUX4,SYBU
DUX4,TAPT1
DUX4,TMEM131L
DUX4,TMTC1
DUX4,USP3
DUX4,XIRP2
DUX4,ZEB2
E2F1,ABR
E2F1,ABTB2
E2F1,ADCY1
E2F1,AGBL5
E2F1,AK1
E2F1,ANKHD1-EIF4EBP3
E2F1,ANKRD18A
E2F1,ANKRD18B
E2F1,AP4E1
E2F1,AP4M1
E2F1,APBA1
E2F1,ARHGAP21
E2F1,ARHGAP26
E2F1,ARIH1
E2F1,ATP1B4
E2F1,ATP2B2
E2F1,AZIN1
E2F1,BHLHE23
E2F1,BPGM
E2F1,C1orf174
E2F1,C1orf21
E2F1,C2CD4B
E2F1,CACNB1
E2F1,CALM1
E2F1,CARHSP1
E2F1,CCNA1
E2F1,CDADC1
E2F1,CDC42BPG
E2F1,CERKL
E2F1,CLIP2
E2F1,CLUL1
E2F1,CNRIP1
E2F1,COL22A1
E2F1,COL2A1
E2F1,COLEC11
E2F1,CPSF3
E2F1,CRTC2
E2F1,CRYBG2
E2F1,DDAH1
E2F1,DNAJA1
E2F1,DOT1L
E2F1,DUSP9
E2F1,EEFSEC
E2F1,EIF5
E2F1,ENOSF1
E2F1,EPM2AIP1
E2F1,EPS8
E2F1,ERGIC1
E2F1,FANCC
E2F1,FAT1
E2F1,FBXO9
E2F1,FCHO2
E2F1,FGFBP3
E2F1,FLYWCH1
E2F1,GLE1
E2F1,GNAS
E2F1,GREB1L
E2F1,GSTO1
E2F1,HDGF
E2F1,HECTD1
E2F1,HRH1
E2F1,ID2
E2F1,IRF1
E2F1,IRF8
E2F1,JADE1
E2F1,KCNC4
E2F1,KDM3A
E2F1,KIAA1586
E2F1,KLHL23
E2F1,KLHL5
E2F1,KPNB1
E2F1,LAMP2
E2F1,LBH
E2F1,LIN54
E2F1,LMTK2
E2F1,LRRC75A
E2F1,LY6H
E2F1,MBNL3
E2F1,MEGF6
E2F1,METTL4
E2F1,MEX3B
E2F1,MGST1
E2F1,MLH1
E2F1,MLLT1
E2F1,MSH3
E2F1,MYO6
E2F1,MYOF
E2F1,NAA11
E2F1,NAB1
E2F1,NCAPD3
E2F1,NDRG4
E2F1,NECAB3
E2F1,NOL4L
E2F1,NOTCH2NLA
E2F1,NPHP4
E2F1,NR2C2
E2F1,PALLD
E2F1,PALM
E2F1,PAPSS2
E2F1,PBLD
E2F1,PCGF5
E2F1,PCLO
E2F1,PDPK1
E2F1,PDS5B
E2F1,PHF13
E2F1,PIAS1
E2F1,PIM1
E2F1,PKM
E2F1,PLGRKT
E2F1,PLXNA4
E2F1,PMPCA
E2F1,POLR2A
E2F1,PPP1R3E
E2F1,PPP3CB
E2F1,PPP6R3
E2F1,PRPF4B
E2F1,PTMA
E2F1,RAB23
E2F1,RAB35
E2F1,RBL1
E2F1,RBPJ
E2F1,REL
E2F1,RGS10
E2F1,RHEB
E2F1,RNF2
E2F1,RNF220
E2F1,RPL14
E2F1,RUFY2
E2F1,SART3
E2F1,SCNN1G
E2F1,SCRN1
E2F1,SEH1L
E2F1,SEPTIN12
E2F1,SERPINB6
E2F1,SERTAD3
E2F1,SETD1A
E2F1,SH2B3
E2F1,SLC39A1
E2F1,SLC52A2
E2F1,SMC4
E2F1,SNED1
E2F1,SNN
E2F1,SPRY4
E2F1,SRBD1
E2F1,SRCAP
E2F1,SREBF1
E2F1,SSC5D
E2F1,ST6GAL1
E2F1,STK11
E2F1,STMN1
E2F1,STX1B
E2F1,STXBP5L
E2F1,SUN1
E2F1,SYNPO
E2F1,SYPL1
E2F1,SYT7
E2F1,TFR2
E2F1,TLCD1
E2F1,TLCD3B
E2F1,TMEM161B
E2F1,TRIP12
E2F1,TRPC3
E2F1,TSPAN6
E2F1,TSPYL2
E2F1,TTLL4
E2F1,TXNL1
E2F1,UBE2F
E2F1,UBIAD1
E2F1,UNG
E2F1,USP38
E2F1,VPS45
E2F1,VTA1
E2F1,WDR81
E2F1,WDTC1
E2F1,YJEFN3
E2F1,ZC3H4
E2F1,ZMYND8
E2F1,ZNF331
E2F1,ZNF33B
E2F1,ZNF367
