TF,Target
CTCF,PAGE4
CTCF,PBXIP1
CTCF,PLXNB3
CTCF,PMPCB
CTCF,POMT2
CTCF,POU1F1
CTCF,PPARD
CTCF,PPRC1
CTCF,PRNT
CTCF,PRSS35
CTCF,PTPA
CTCF,PTPRG
CTCF,RAD21
CTCF,RARRES1
CTCF,RBL2
CTCF,RBM39
CTCF,RBMS3
CTCF,RPL39L
CTCF,RPP30
CTCF,S100Z
CTCF,SIX5
CTCF,SLC6A4
CTCF,SMIM7
CTCF,STAB2
CTCF,TBC1D14
CTCF,TERT
CTCF,TMBIM6
CTCF,TNFRSF18
CTCF,TRAPPC6A
CTCF,TRO
CTCF,TSFM
CTCF,TSPAN16
CTCF,TYSND1
CTCF,WT1
CTCF,ZNF20
CTCF,ZNF462
CTCF,ZNF613
CTCF,ZNF763
CTCF,ZNF804B
CTCF,ZNHIT2
CUX1,ECT2
CUX1,RACGAP1
DDIT3,ASNS
DDIT3,CXCL8
DDIT3,TNFRSF10B
DDIT3,TRIB3
DNMT1,ESR1
DNMT1,MSH2
DNMT1,SFRP5
DNMT1,TIMP3
E2F1,AARS1
E2F1,ABCA1
E2F1,ACSL1
E2F1,ACTR2
E2F1,ADH6
E2F1,AK3
E2F1,ALOX5AP
E2F1,AMPD3
E2F1,ANKRD16
E2F1,APAF1
E2F1,AR
E2F1,ARHGEF17
E2F1,ARL10
E2F1,ARMC8
E2F1,ASCC2
E2F1,ASF1B
E2F1,ATAD2
E2F1,ATG10
E2F1,ATM
E2F1,AURKA
E2F1,AXIN2
E2F1,B4GALT1
E2F1,BBC3
E2F1,BCL2
E2F1,BDH1
E2F1,BIN1
E2F1,BIRC5
E2F1,BLVRA
E2F1,BMI1
E2F1,BMP4
E2F1,BNIP3
E2F1,BRCA1
E2F1,BRD2
E2F1,CASP7
E2F1,CASR
E2F1,CBS
E2F1,CBX5
E2F1,CCDC7
E2F1,CCNA2
E2F1,CCND1
E2F1,CCND3
E2F1,CCNE1
E2F1,CCNE2
E2F1,CD2AP
E2F1,CD72
E2F1,CDAN1
E2F1,CDC25A
E2F1,CDC45
E2F1,CDC6
E2F1,CDCA4
E2F1,CDCA7
E2F1,CDH20
E2F1,CDH5
E2F1,CDK1
E2F1,CDKN1A
E2F1,CDKN1C
E2F1,CDKN2A
E2F1,CDKN2C
E2F1,CDT1
E2F1,CELF1
E2F1,CHKA
E2F1,CLASP2
E2F1,CLDN23
E2F1,CLDN5
E2F1,CNIH4
E2F1,COQ2
E2F1,COX15
E2F1,CSRNP3
E2F1,CTNNBIP1
E2F1,CTNND2
E2F1,CTSV
E2F1,CUL5
E2F1,CUX1
E2F1,DAPK2
E2F1,DBF4
E2F1,DCC
E2F1,DCLRE1C
E2F1,DDIT4
E2F1,DGKI
E2F1,DHFR
E2F1,DIRAS2
E2F1,DIRAS3
E2F1,DNMT1
E2F1,DPF2
E2F1,DRAM1
E2F1,DTL
E2F1,DUSP1
E2F1,DUSP4
E2F1,DYNC1I2
E2F1,E2F1
E2F1,E2F3
E2F1,E2F6
E2F1,ECT2
E2F1,EGF
E2F1,EGFR
E2F1,EIF3A
E2F1,ENPEP
E2F1,ERCC1
E2F1,ERCC8
E2F1,ETV4
E2F1,EYA2
E2F1,FAM184A
E2F1,FANCA
E2F1,FANCD2
E2F1,FBXO43
E2F1,FBXO5
E2F1,FGFR1
E2F1,FH
E2F1,FHIT
E2F1,FLT1
E2F1,FOXA2
E2F1,FOXM1
E2F1,GALC
E2F1,GATA3
E2F1,GINS3
E2F1,GMNN
E2F1,GNL3
E2F1,GPR158
E2F1,GRIK5
E2F1,H19
E2F1,H2AC17
E2F1,H2BC11
E2F1,H4C8
E2F1,HAT1
E2F1,HBA2
E2F1,HELLS
E2F1,HERPUD1
E2F1,HFE
E2F1,HIC1
E2F1,HIVEP1
